date,home,away,match_id,home_score,away_score
2023-03-12 10:00:00,FALCONS DE SABADELL A.E.,CTT ELS AMICS DE TERRASSA,106,2,4
2023-03-12 11:00:00,CTT DELS HORTS,107 CTT SANT QUINTÍ DE MEDIONA,2000,6,0
2023-03-12 11:00:00,CTT CARDEDEU EIG,EL CENTRE A,108,0,6
2023-04-02 11:00:00,CTT CARDEDEU EIG,ATT PREMIÀ DE MAR,109,1,5
2023-04-01 18:00:00,EL CENTRE A,CTT DELS HORTS 2000,110,2,4
2023-04-02 10:30:00,CTT SANT QUINTÍ DE MEDIONA,FALCONS DE SABADELL A.E.,111,1,5
2023-04-02 10:00:00,CTT ELS AMICS DE TERRASSA,NEW OLIVER BADALONA,112,4,3
2023-04-01 17:00:00,BELLVITGE ALHEÑA,CTT SENTMENAT,113,4,2
2023-04-02 11:00:00,LLUÏSOS DE GRÀCIA,CTT ATENEU 1882,114,1,5
2023-04-16 10:00:00,ATT PREMIÀ DE MAR,LLUÏSOS DE GRÀCIA,115,4,2
2023-04-16 11:00:00,CTT ATENEU,116 BELLVITGE ALHEÑA,1882,4,2
2023-04-15 18:30:00,CTT SENTMENAT,CTT ELS AMICS DE TERRASSA,117,4,2
2023-04-15 17:30:00,NEW OLIVER BADALONA,CTT SANT QUINTÍ DE MEDIONA,118,3,4
2023-04-16 10:00:00,FALCONS DE SABADELL A.E.,EL CENTRE A,119,4,2
2023-04-16 11:00:00,CTT DELS HORTS,120 CTT CARDEDEU EIG,2000,6,0
2023-04-23 11:00:00,CTT DELS HORTS,121 ATT PREMIÀ DE MAR,2000,5,1
2023-04-23 11:00:00,CTT CARDEDEU EIG,FALCONS DE SABADELL A.E.,122,0,6
2023-04-22 18:00:00,EL CENTRE A,NEW OLIVER BADALONA,123,2,4
2023-04-23 10:30:00,CTT SANT QUINTÍ DE MEDIONA,CTT SENTMENAT,124,6,0
2023-04-23 10:00:00,CTT ELS AMICS DE TERRASSA,CTT ATENEU 1882,125,1,5
2023-04-23 11:00:00,BELLVITGE ALHEÑA,LLUÏSOS DE GRÀCIA,126,5,1
2023-04-30 10:00:00,ATT PREMIÀ DE MAR,BELLVITGE ALHEÑA,127,1,5
2023-04-30 11:00:00,LLUÏSOS DE GRÀCIA,CTT ELS AMICS DE TERRASSA,128,3,4
2023-04-26 20:00:00,CTT ATENEU,129 CTT SANT QUINTÍ DE MEDIONA,1882,6,0
2023-04-29 18:30:00,CTT SENTMENAT,EL CENTRE A,130,1,5
2023-04-29 17:30:00,NEW OLIVER BADALONA,CTT CARDEDEU EIG,131,6,0
2023-04-30 10:00:00,FALCONS DE SABADELL A.E.,CTT DELS HORTS 2000,132,1,5
